"","pair","study","cond","trial","down.time","down.HR1","down.HR2","down.Resp1","down.Resp2"
"1",7,2,"Conver",1,16.605323,-0.00351053309171494,0.127100629927459,-0.84286672923459,-0.600477622313902
"2",7,2,"Conver",1,16.606992,-0.00351053309171494,0.127100629927459,-0.928603661872488,-1.08488845217844
"3",7,2,"Conver",1,16.608658,-0.00351053309171494,0.127100629927459,-1.00180611266068,-1.85136071668755
"4",7,2,"Conver",1,16.610323,-0.00351053309171494,0.127100629927459,-1.04450884973426,-2.6501761022639
"5",7,2,"Conver",1,16.611991,-0.00351053309171494,0.127100629927459,-1.05799807076434,-3.30762281626996
"6",7,2,"Conver",1,16.61366,-0.00351053309171494,0.127100629927459,-1.05916440994037,-0.17397955201357
"7",7,2,"Conver",1,16.615325,-0.00351053309171494,0.127100629927459,-1.05823663169602,-3.32058798285911
"8",7,2,"Conver",1,16.616992,-0.229906066545168,0.127100629927459,-1.05669457350332,-2.7388289448045
"9",7,2,"Conver",1,16.618659,-0.322377481617706,0.127100629927459,-1.04923783094438,-2.0730598219677
"10",7,2,"Conver",1,16.620326,-0.322377481617706,0.127100629927459,-1.01202116954342,-1.53774700467732
"11",7,2,"Conver",1,16.621991,-0.322377481617706,0.127100629927459,-0.886404883734897,-1.19556364447625
"12",7,2,"Conver",1,16.623657,-0.322377481617706,1.43599486969132,-0.654907056687861,-0.982158377353285
"13",7,2,"Conver",1,16.625324,-0.322377481617706,0.572857502009613,-0.350381727032941,-0.860657323387479
"14",7,2,"Conver",1,16.626992,-0.322377481617706,0.572857502009613,-0.0645523709635212,-0.787593348785192
"15",7,2,"Conver",1,16.628658,-0.322377481617706,0.572857502009613,0.131824233312658,-0.734950274766012
"16",7,2,"Conver",1,16.630324,-0.322377481617706,0.572857502009613,0.238949623321703,-0.703456490378039
"17",7,2,"Conver",1,16.631993,-0.322377481617706,0.69621733375783,0.283368694408784,-0.704620104466526
"18",7,2,"Conver",1,16.63366,-0.349235550462277,0.915523701310217,0.274394831490779,-0.725198539921822
"19",7,2,"Conver",1,16.635325,-0.360205747595976,0.915523701310217,0.20197352118214,-0.740689717596203
"20",7,2,"Conver",1,16.636992,-0.360205747595976,0.915523701310217,0.0862965144981194,-0.71164056681214
"21",7,2,"Conver",1,16.63866,-0.360205747595976,0.915523701310217,-0.0019415589898375,-0.636497318328752
"22",7,2,"Conver",1,16.640324,-0.360205747595976,0.952436930096664,-0.0155823475485106,-0.549386080353988
"23",7,2,"Conver",1,16.641991,-0.360205747595976,1.16161189321986,0.0130802199092334,-0.470844739426338
"24",7,2,"Conver",1,16.643658,-0.360205747595976,1.16161189321986,0.0355158722403214,-0.406188606027793
"25",7,2,"Conver",1,16.645324,-0.360205747595976,1.16161189321986,0.0443433946657237,-0.3436385460818
"26",7,2,"Conver",1,16.646992,-0.360205747595976,1.16161189321986,0.0419191647370109,-0.320475326915885
"27",7,2,"Conver",1,16.648658,-0.360205747595976,2.03682579783168,0.0176263456928726,-0.313722161165539
"28",7,2,"Conver",1,16.650326,-2.71984836629522,2.52913361917583,-0.0180481708110027,-0.25247689078965
"29",7,2,"Conver",1,16.651993,-3.68364605562309,2.52913361917583,-0.0671177680229912,-0.0365352190085323
"30",7,2,"Conver",1,16.653659,-3.68364605562309,2.52913361917583,-0.130605565984504,0.364008882807507
"31",7,2,"Conver",1,16.655325,-3.68364605562309,2.52913361917583,-0.165624832652091,0.82461954002825
"32",7,2,"Conver",1,16.656992,-3.68364605562309,2.31025585224796,-0.143771342486599,1.23335926763527
"33",7,2,"Conver",1,16.658658,-3.68364605562309,1.24161734312953,-0.0967555451543508,1.54191232568265
"34",7,2,"Conver",1,16.660323,-3.68364605562309,1.24161734312953,-0.0551376244877488,1.75590792910477
"35",7,2,"Conver",1,16.661991,-3.68364605562309,1.24161734312953,-0.045362497414505,1.88242861271553
"36",7,2,"Conver",1,16.663658,-3.68364605562309,1.24161734312953,-0.131348946290007,1.94225905215054
"37",7,2,"Conver",1,16.665324,-3.68364605562309,1.18435772836293,-0.309929305513093,1.96722609221097
"38",7,2,"Conver",1,16.666992,-0.833557061961271,1.02138805556569,-0.483150836506649,1.95934589961317
"39",7,2,"Conver",1,16.668659,0.330563794604823,1.02138805556569,-0.535427154238097,1.91970178294715
"40",7,2,"Conver",1,16.670326,0.330563794604823,1.02138805556569,-0.475331244339555,1.85813883278166
"41",7,2,"Conver",1,16.671992,0.330563794604823,1.02138805556569,-0.399277437161182,1.78973607268612
"42",7,2,"Conver",1,16.673659,0.330563794604823,1.2732430688782,-0.3826730884761,1.70645969025836
"43",7,2,"Conver",1,16.675324,0.330563794604823,1.70207728073464,-0.430913597681714,1.5945257570454
"44",7,2,"Conver",1,16.676992,0.330563794604823,1.70207728073464,-0.549868038507155,1.47778216300382
"45",7,2,"Conver",1,16.678657,0.330563794604823,1.70207728073464,-0.733513647501573,1.39438772263783
"46",7,2,"Conver",1,16.680323,0.330563794604823,1.70207728073464,-1.03791910977213,1.34684393591155
"47",7,2,"Conver",1,16.681992,0.330563794604823,1.68522327550992,-1.40224558267458,1.31281105758669
"48",7,2,"Conver",1,16.683658,0.478586351981943,1.66621769515013,-1.69270920636339,1.29087685744599
"49",7,2,"Conver",1,16.685325,0.539046269783866,1.66621769515013,-1.78558281850339,1.28722994845877
"50",7,2,"Conver",1,16.686992,0.539046269783866,1.66621769515013,-1.62338884134906,1.29699438863023
"51",7,2,"Conver",1,16.68866,0.539046269783866,1.66621769515013,-1.29204294244195,1.30575185471274
"52",7,2,"Conver",1,16.690326,0.539046269783866,1.59736800516224,-0.947866610705856,1.30080494745272
"53",7,2,"Conver",1,16.691992,0.539046269783866,1.52570812374627,-0.696041071904896,1.2953942864259
"54",7,2,"Conver",1,16.693658,0.539046269783866,1.52570812374627,-0.55781992505592,1.30515733768043
"55",7,2,"Conver",1,16.695324,0.539046269783866,1.52570812374627,-0.484829169225326,1.31755895822029
"56",7,2,"Conver",1,16.696992,0.539046269783866,1.52570812374627,-0.409024810572557,1.32531081582681
"57",7,2,"Conver",1,16.698657,0.539046269783866,1.46153375223748,-0.306169456453118,1.33002875686993
"58",7,2,"Conver",1,16.700324,0.640037907897962,1.37291200110629,-0.211544422656211,1.32896907851073
"59",7,2,"Conver",1,16.701993,0.681288013606537,1.37291200110629,-0.140985472682392,1.32825502606815
"60",7,2,"Conver",1,16.703659,0.681288013606537,1.37291200110629,-0.104764136373169,1.32498935147164
"61",7,2,"Conver",1,16.705325,0.681288013606537,1.37291200110629,-0.10940474516755,1.30822541787143
"62",7,2,"Conver",1,16.706993,0.681288013606537,1.37291200110629,-0.151205376753323,1.28771349662208
"63",7,2,"Conver",1,16.70866,0.681288013606537,0.666781042866067,-0.209621669428317,1.26886725030241
"64",7,2,"Conver",1,16.710324,0.681288013606537,0.334484121341255,-0.278419128698538,1.243651598774
"65",7,2,"Conver",1,16.711992,0.681288013606537,0.334484121341255,-0.358105565156632,1.20344569783921
"66",7,2,"Conver",1,16.713658,0.681288013606537,0.334484121341255,-0.447230661697578,1.17370127295577
"67",7,2,"Conver",1,16.715324,0.681288013606537,0.334484121341255,-0.554623282889424,1.19096588780184
"68",7,2,"Conver",1,16.716991,0.638282492633632,0.334484121341255,-0.675567188938367,1.2341118508704
"69",7,2,"Conver",1,16.718658,0.62071685730667,0.334484121341255,-0.774585578247689,1.26195594843732
"70",7,2,"Conver",1,16.720326,0.62071685730667,-0.146639866740206,-0.728956163443045,1.26269412515499
"71",7,2,"Conver",1,16.721992,0.62071685730667,-1.21752874343765,-0.477875204771173,1.22283391072717
"72",7,2,"Conver",1,16.723659,0.62071685730667,-1.21752874343765,-0.0781654965696311,1.10315070198814
"73",7,2,"Conver",1,16.725325,0.62071685730667,-1.21752874343765,0.379578930886064,0.891181820351821
"74",7,2,"Conver",1,16.726993,0.62071685730667,-1.21752874343765,0.784629678838361,0.638701227637826
"75",7,2,"Conver",1,16.728658,0.62071685730667,-1.21752874343765,1.02156449035902,0.428250070284864
"76",7,2,"Conver",1,16.730323,0.62071685730667,-1.21752874343765,1.06478291210492,0.297710014912446
"77",7,2,"Conver",1,16.731992,0.62071685730667,-1.21688527103338,0.988072401759559,0.233035145117858
"78",7,2,"Conver",1,16.733658,0.410275149228355,-1.20144193333082,0.873623888911754,0.196154833299759
"79",7,2,"Conver",1,16.735323,0.324320085365382,-1.20144193333082,0.769384817805339,0.164743125512356
"80",7,2,"Conver",1,16.736991,0.324320085365382,-1.20144193333082,0.705134760277053,0.137183797861294
"81",7,2,"Conver",1,16.73866,0.324320085365382,-1.20144193333082,0.711486476048949,0.122352681979798
"82",7,2,"Conver",1,16.740325,0.324320085365382,-1.20144193333082,0.696653749875749,0.146059163415015
"83",7,2,"Conver",1,16.741992,0.324320085365382,-1.20144193333082,0.504765212473182,0.229594359791075
"84",7,2,"Conver",1,16.743659,0.324320085365382,-1.20144193333082,0.19018019257379,0.353847613225165
"85",7,2,"Conver",1,16.745326,0.324320085365382,-1.21302443660774,-0.254165341410241,0.426740942138828
"86",7,2,"Conver",1,16.746991,0.324320085365382,-1.21752874343765,-0.730245205843869,0.289090293966405
"87",7,2,"Conver",1,16.748657,0.324320085365382,-1.21752874343765,-0.915155687358632,-0.0745760687903951
"88",7,2,"Conver",1,16.750324,0.314282066844455,-1.21752874343765,-0.925732136390041,-0.342596671959633
"89",7,2,"Conver",1,16.751992,0.310182031110555,-1.21752874343765,-1.26944724206733,-1.01090233927844
"90",7,2,"Conver",1,16.753658,0.310182031110555,-1.21752874343765,-1.80945100899821,-1.46263796642949
"91",7,2,"Conver",1,16.755324,0.310182031110555,-1.21752874343765,-2.21096738880461,-1.76070489748057
"92",7,2,"Conver",1,16.756993,0.310182031110555,-0.990495278092741,-2.60122363483267,-2.18709372299171
"93",7,2,"Conver",1,16.75866,0.310182031110555,-0.922680087145559,-2.88958158051598,-2.68831110010547
"94",7,2,"Conver",1,16.760325,0.310182031110555,-0.922680087145559,-0.0928299463691452,-3.02573933077983
"95",7,2,"Conver",1,16.761992,0.310182031110555,-0.922680087145559,-0.0928299463691452,-3.23536851498118
"96",7,2,"Conver",1,16.76366,0.310182031110555,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"97",7,2,"Conver",1,16.765324,0.310182031110555,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"98",7,2,"Conver",1,16.766991,3.50318910012255,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"99",7,2,"Conver",1,16.768658,-0.0633311730455097,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"100",7,2,"Conver",1,16.770324,-0.0633311730455097,-0.922680087145559,-2.88810616083898,-0.17397955201357
"101",7,2,"Conver",1,16.771992,-0.0633311730455097,-0.922680087145559,-2.72453643276659,-0.17397955201357
"102",7,2,"Conver",1,16.773658,-0.0633311730455097,-0.922680087145559,-2.73501845659018,-0.17397955201357
"103",7,2,"Conver",1,16.775326,-0.0633311730455097,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"104",7,2,"Conver",1,16.776993,-0.0633311730455097,-0.922680087145559,-0.0928299463691452,-0.17397955201357
"105",7,2,"Conver",1,16.778659,-0.0633311730455097,-0.922680087145559,-0.0928299463691452,-2.9035328188775
"106",7,2,"Conver",1,16.780325,-0.0633311730455097,-0.922680087145559,-0.0928299463691452,-2.09596268912295
