"","Group","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.HR.S","DET.HR.S","NRLINE.HR.S","maxL.HR.S","L.HR.S","ENTR.HR.S","rENTR.HR.S","LAM.HR.S","TT.HR.S","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE","RR.RE.S","DET.RE.S","NRLINE.RE.S","maxL.RE.S","L.RE.S","ENTR.RE.S","rENTR.RE.S","LAM.RE.S","TT.RE.S"
"11",4,"Conversation",10.4883988314127,97.6876556385628,35318,109,9.64108952941842,3.01506266000031,0.662086993515674,99.6253198838664,17.649707750953,7.63084244743749,14.5841055528829,17752,7,2.08342721946823,0.29383907614895,0.16399471089473,21.7497772064448,2.15583349618917,6.6346425526934,87.8058514860017,54094,39,3.57902909749695,1.70089325854439,0.510440836794546,94.0841122766916,4.07646053174556,6.60891533760275,13.1513048862664,13973,6,2.06720103055894,0.250529536767954,0.155662753332967,17.3186545010836,2.08381724553523
"12",4,"TurnTaking",8.24878207717759,97.874177856323,28756,89,9.34069411601057,2.9894583984618,0.69676882848277,99.3943921147084,17.0227783325012,6.31639663165589,12.141140640986,12346,5,2.06658026891301,0.249038020628806,0.179642958676991,17.4132146850984,2.10413432235064,5.48188505116959,83.9286987131335,46578,25,3.28631542788441,1.53580623481986,0.496857050006305,90.2352767009722,3.62365686101814,4.94421961565097,9.29522836838042,7458,5,2.05014749262537,0.201431968957951,0.145302451346068,9.69950089061541,2.04237071172555
"13",5,"Conversation",13.1602757325995,98.500494920918,36747,155,11.4548942770838,3.22942209762223,0.665581606453832,99.3934586196972,14.9944928866453,8.96709907970057,15.669001991895,21902,5,2.08314309195507,0.293249367606422,0.211534704194805,15.9763720035717,2.08264314813986,5.35904119359301,85.3343600411449,46040,29,3.22541268462207,1.51127750610513,0.475535527961675,93.5070308414598,3.93452136276809,5.50362712043962,10.7557326230737,9369,5,2.05165972889316,0.206003081185546,0.148599811817117,14.1264814172365,2.09145886836219
"14",5,"TurnTaking",11.5510204081633,96.8485374370126,48544,91,7.63344594594595,2.7842436756949,0.642903512390078,98.4164279591026,11.0915169366716,9.96455742060138,19.294019983882,30160,6,2.11150530503979,0.362083258342175,0.224974977627166,24.4717723122042,2.1774045719215,5.27623475425673,82.3825599359158,46157,29,3.11935351084343,1.42863561297393,0.443830607548343,92.1565486067403,3.5292751336664,5.29676367588455,10.3733257338273,8850,5,2.05649717514124,0.220306469391684,0.158917525433569,13.2140210886292,2.10955414012739
"15",5,"Synchronous",6.44165250970984,96.5007731240936,31812,75,6.317081604426,2.55199892319437,0.618346456670199,98.9344333144454,8.96042273735485,5.83295492086746,11.4155105850409,10462,5,2.05754157904798,0.223416619697943,0.161161024645199,15.4538415849985,2.09406438631791,6.02294478724971,85.5051101638334,41964,46,3.96737679916119,1.85247841060635,0.539454080721915,95.4342355297622,5.45807020120429,5.92476376544944,11.4657296800601,10646,5,2.06284050347548,0.238527822509326,0.172061453324124,15.1428452092557,2.08227439155718
"16",6,"Conversation",7.19856829802776,97.2261345694096,32856,69,7.29051010469929,2.73801044926829,0.686392930457204,98.8423962235815,10.3378757004585,6.44192841490139,12.5034584420002,13319,6,2.06974998122982,0.257776519468401,0.160165556854903,13.4400725705862,2.09873220483037,5.67427319211103,92.6396226609407,42507,58,4.23243230526737,1.95680271470605,0.511095846296928,98.6750908847489,6.66697978638277,4.97197954711468,9.71521925649072,8070,5,2.04857496902107,0.196543058265422,0.141775847740338,10.8752629785033,2.05965498052309
"17",6,"Synchronous",7.75183844455069,96.6322450785744,36040,63,6.84692008879023,2.62092982639206,0.657041942458877,98.1614407725473,9.26170330685387,7.06493940152843,13.755129224225,15406,5,2.07795664027002,0.279760378272933,0.20180445518579,17.1594302532924,2.14467536652167,2.82372940524706,72.9939797892926,17933,32,3.78625996765739,1.80039491578989,0.552591028160019,78.9421629757042,4.02830654451698,3.07343912452853,5.83529225845959,2904,4,2.03443526170799,0.150941727507317,0.137393081311979,6.54050530391324,2.07326236693801
"18",6,"TurnTaking",8.39131089966263,96.2063006969039,34617,91,7.78432562035994,2.73031512290176,0.6195800026509,97.5747600822575,9.85586007933646,8.12704524272386,15.0987005805917,19726,6,2.07639663388421,0.275612281806362,0.171247539079981,17.9788037968851,2.11803534980675,4.06165020286531,79.0898026922368,29695,40,3.61091092776562,1.66529365960074,0.464709043875795,91.7226627328047,4.61386910062333,3.92719557546011,7.59419316942183,4873,4,2.04288939051919,0.178775330142496,0.162728318248863,9.27780786805709,2.02869057547957
"19",7,"Conversation",10.1597222721359,98.5205643814839,33818,136,10.2948134129753,3.12060564942504,0.676169915398196,99.6094833294659,17.0088427156318,7.30645659783366,14.3549688157869,17480,5,2.08701372997712,0.303061258766018,0.218612487553651,21.9615558659767,2.15515310653744,6.24347188580382,91.191368655658,52962,32,3.73915259997734,1.78519679577574,0.53015739807539,96.2659212937807,5.03063336221003,6.39073090441245,12.3931547029926,13309,6,2.06987752648584,0.258121522440059,0.160379919253721,17.5991074481294,2.10514986815907
"20",7,"TurnTaking",11.7608657824984,98.8237261255418,36193,102,10.7777194485121,3.17981804481379,0.701544014558771,99.7598303611918,18.9004991840261,8.3759010125665,16.2699118507083,21880,5,2.09035648994516,0.311437694095542,0.224654808408766,31.0763604800899,2.29044859862091,4.76383578688431,90.52506489039,40369,47,3.58532537343011,1.70568531566118,0.475980550111463,94.4535134628014,4.24264643910662,4.4934128353769,8.43053133433681,6219,4,2.04438012542209,0.183515655587675,0.167043148416042,10.1359998408583,2.06288798920378
"21",7,"Synchronous",12.5014869321859,98.5576267886693,40999,129,9.87811897851167,3.09729922221653,0.677048066374198,99.2380512021805,13.1876657396029,9.29668031551256,18.1115194434173,26301,6,2.1042926124482,0.345291725512246,0.214541811675127,20.1136203731277,2.11010024718484,2.89902338598265,71.5951306537937,21158,17,3.2244541071935,1.52413911109929,0.549716984301965,77.7227411060972,3.32057030129125,2.87964382992356,6.29245771396575,2934,4,2.02999318336742,0.135578285344129,0.123408673599033,7.60039301448449,2.03048264182896
"22",8,"Synchronous",8.11886413333823,98.0347009997755,28887,98,8.91733305639215,2.97518567383723,0.693442209312876,99.1688200975038,12.4000666222518,6.63647675303524,12.9623852912009,13461,5,2.06827130228066,0.253765746921021,0.183053292315221,17.4431868443964,2.09653049804141,1.41805666232336,51.0524251536149,9036,14,2.5929614873838,1.04837088178192,0.437204615929062,75.3410031812437,3.1956561922366,1.37059653609055,2.87208620767393,634,3,2.00946372239748,0.0535224854192495,0.0772166242904031,3.00960367915596,2.0045045045045
"23",8,"TurnTaking",8.43923056748111,98.7370470700123,39740,135,11.024609964771,3.20847761600026,0.670179248003422,99.5048701664556,15.3605969941553,5.90018846109883,11.277049090493,16943,6,2.06480552440536,0.24412108391792,0.151680957700762,15.7847741785748,2.1576558713373,1.83691087362912,53.0564701497173,18991,13,2.69827813174662,1.13636023329068,0.457304999118431,78.8801225901307,3.50658197551321,1.80459727922959,3.52328657399113,1655,3,2.01993957703927,0.0978038647466165,0.141101150649719,4.60145653067462,2.0203609440074
"24",8,"Conversation",7.42495797646682,97.5135170995456,31926,108,9.20798095596066,2.99680714097723,0.659610983789151,99.2742229740936,13.6440392067472,5.81420980364389,11.2712331088237,12880,5,2.06583850931677,0.247045127779164,0.17820539036139,14.4444444444444,2.11087037266312,2.77033908219372,71.1091552426166,27955,23,2.86120550885351,1.26916873300464,0.439102246808707,96.051812734482,4.71341942238897,2.57704930145497,5.03278093162834,2600,4,2.02538461538462,0.118917772283895,0.108243621075879,9.14234378882581,2.03618561089825
"25",9,"Conversation",17.4839523260999,97.3052221904907,50043,128,11.7108486701437,3.21333011740421,0.665518086071925,99.6511566125829,19.7011226365546,13.4852424104489,25.1931518025708,54162,7,2.16074000221558,0.466711747647833,0.260476785898559,41.4579436033333,2.40538818944844,5.27247951657253,91.1250227118812,45500,35,3.63745054945055,1.74066253912504,0.51693187263919,96.532377507254,5.42180783622476,5.1561280748365,9.97944993384568,8626,5,2.05483422211917,0.21522731296269,0.155253688537565,15.7317794105228,2.10708091395822
"26",9,"Synchronous",15.0350733212992,96.4033461149788,88451,97,10.1273812619416,3.07633722452709,0.675542465849545,99.3381381988965,14.1571625766871,12.6380296029446,23.1673825786916,84106,8,2.15145173947162,0.448173101130776,0.230315413765817,34.6026848301336,2.3109336388744,5.35457127896915,93.3159677628935,69064,53,4.47127302212441,2.05306149927489,0.564402163722032,97.9188512131221,7.02136511375948,5.15307281516638,9.5632241655415,14842,5,2.0520145532947,0.207081324595475,0.149377600027305,17.0367695544321,2.1194140625
"27",9,"TurnTaking",7.75168263676186,95.4996987378702,38155,41,6.31421832001048,2.48202509214149,0.692622289645501,97.757975518488,7.23192868244333,8.04264113745753,16.1323598519147,20263,7,2.08384740660317,0.293640154929878,0.16388369084852,18.2577433417004,2.09716066178084,8.14908112546153,97.0091061631568,49331,58,5.21523990999574,2.29520350007091,0.580881277780285,98.6263456571332,7.56922097464984,7.07764465268116,13.4681508752431,14930,5,2.07782987273945,0.279428499845326,0.201565055504947,25.8470234787441,2.20647098065377
