"","Group","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.HR.S","DET.HR.S","NRLINE.HR.S","maxL.HR.S","L.HR.S","ENTR.HR.S","rENTR.HR.S","LAM.HR.S","TT.HR.S","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE","RR.RE.S","DET.RE.S","NRLINE.RE.S","maxL.RE.S","L.RE.S","ENTR.RE.S","rENTR.RE.S","LAM.RE.S","TT.RE.S"
"1",1,"Synchronous",12.3599942054384,98.3637896903385,58869,105,9.35212081061339,3.03618699343668,0.681623320209085,99.2533606809265,11.5142703173254,10.6739843617502,19.609441429662,44860,6,2.11288452964779,0.365228157901498,0.226929013589055,21.341073611953,2.13830559068013,7.75453230114761,93.8528570004699,70352,55,4.68457186718217,2.12373109517867,0.554695745892043,95.734647093164,5.12074638233054,8.20356665865792,15.533972742127,27597,6,2.09106062253143,0.313273344950485,0.19464767328408,18.787366516909,2.11795587655145
"2",1,"TurnTaking",14.7741718341016,98.5175367651729,35897,106,12.9626431178093,3.27837130863414,0.71825618272559,99.8098754663132,31.4954569748797,11.695012486925,20.8059740614042,36341,6,2.14055749704191,0.425651168926995,0.264471941190477,53.1176865490006,2.73306268492397,5.45064286393506,80.0199708471542,45426,27,3.06956368599481,1.37610715450707,0.445191929671486,90.6848623274071,3.50739113064323,5.65233548038377,10.7807329193921,9478,5,2.05539143279173,0.217057758696722,0.156574076029117,11.8482363227856,2.04625824333365
"3",1,"Conversation",10.4498698715977,96.6041708471106,32862,79,10.1085143935244,2.95450585711175,0.686445440097251,98.3574853938923,26.3777101856185,9.13263129232516,15.5351759295616,22264,5,2.09692777578153,0.327613567975795,0.236323234923309,49.7367878130428,2.59411989308897,6.36644547066854,91.9673117129846,50108,43,3.8450147681009,1.83294692197321,0.524222210234388,96.4858182095907,4.66677440953063,6.44284500437003,12.0589789064564,12396,5,2.06243949661181,0.237352736003019,0.171213807586491,12.8051771631259,2.06197782166186
"4",10,"Synchronous",12.019777230837,96.9939089931924,50342,84,7.5283858408486,2.75240930382744,0.656953728482211,98.6988790500077,8.99887997013254,10.0286113395158,18.7297361131986,28913,6,2.11188738629682,0.359268490602622,0.223226064097911,22.336362883461,2.19070397111913,7.16175573526467,92.7337156111075,47503,55,4.54493400416816,2.07876590741685,0.549329211407526,95.8718295642463,5.88773410709575,7.06211899868617,13.8734014008433,15373,5,2.0718142197359,0.263440247372154,0.190031969227184,21.3371606788166,2.14442061025259
"5",10,"Conversation",11.3138509841807,97.250506991141,44492,86,8.19149510024274,2.87212864043623,0.659242734525041,98.5761554061266,10.6263195742845,9.75754739765729,18.3262223514816,28183,7,2.10169250966895,0.339106571725598,0.189258981213419,21.7463003814869,2.1073366713639,5.17005796401401,89.7374060600398,43488,33,3.53380242825607,1.68819808531635,0.49161455322588,94.4485644047111,5.1562370493162,5.07127762347543,9.82968311892416,8057,4,2.04939803897232,0.19871413474335,0.180877400328608,10.898851655842,2.05338716913414
"6",10,"TurnTaking",7.17914898272211,95.0059771571776,58597,52,5.62858166800348,2.39891047057563,0.616398057161127,96.5623424695021,6.85117210652169,6.12746998770163,11.7678029024637,16883,5,2.06527275958064,0.245451966640521,0.177056167524361,14.4903813702329,2.08139422144658,4.60277843436628,89.9798716819726,58857,33,3.40265388993663,1.62374791521746,0.477404788081994,96.3342199378179,5.51785990014926,4.42726767572428,8.54053296587804,8940,4,2.04519015659955,0.186031568430367,0.169333230976235,11.6024009155242,2.05077608982827
"7",2,"TurnTaking",9.68724206800227,98.3003312754103,34775,90,9.01078360891445,2.9628290541504,0.668686878438275,98.9380991818501,11.059085489866,6.31144023757398,12.1925617765451,12254,5,2.06642728904847,0.248635172837389,0.179352365421536,15.1326053042122,2.06776761629055,5.89045267179563,94.2104204177866,45317,52,4.02959154401218,1.91157596662808,0.533435430217553,98.145807430184,6.42757711930263,5.89993423683734,11.6779899352539,10979,5,2.06503324528646,0.244702163351953,0.176515298781332,16.6676109877771,2.09946149354441
"8",2,"Synchronous",8.38561420840822,96.4032053118275,38634,72,6.7946368483719,2.65134031282377,0.635144786863548,97.2486026338791,8.043436000243,6.53035657753563,12.49917473851,12825,5,2.06666666666667,0.249116756599349,0.179699754674112,17.0150056117781,2.09834254143646,5.98071448544656,87.5039906079112,47006,30,3.61524060758201,1.70637275965811,0.512085244002142,97.7328197892959,5.95834248940512,6.20703226529654,11.7918186103049,11502,5,2.06633628934098,0.248407673873791,0.179188259608241,18.127558234725,2.10685042094337
"9",2,"Conversation",9.29728680917117,98.3603413246648,28183,110,10.7362949295675,3.1629268026624,0.679620487646686,99.5374238114588,15.380079361093,5.50707651595265,10.8546999165825,9593,5,2.0618159074325,0.235545633055113,0.169910258355832,15.2906440707731,2.10374509211718,5.88894151013023,93.5612339685195,44535,65,4.09352194902885,1.91906046178094,0.510225567040074,97.8486125295739,6.46762101835205,5.752122924563,11.0112229671508,10169,5,2.06087127544498,0.232984084351982,0.16806249155033,16.6100964670772,2.11203901656868
"10",4,"Synchronous",8.74698868227087,97.1882039657252,35597,93,7.72036969407534,2.79800867155964,0.638519321041934,99.199711429309,11.6801299133911,6.66931864721771,12.7797927701455,13314,5,2.06955084873066,0.257103174350796,0.185460737316352,17.2889437214178,2.12713992239215,3.02894948162648,73.2148692810458,21791,23,3.28998210270295,1.55400131690602,0.502743440232484,76.4583333333333,3.49279216235129,3.32537945387348,6.76074156070063,3554,4,2.04501969611705,0.185518363913731,0.168866092093911,8.32534906002623,2.05558107487368
