"","Group1","Group2","Group1Participant","Group2Participant","Condition","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.RE","DET.RE","NRLINE.RE","maxL.RE","L.RE","ENTR.RE","rENTR.RE","LAM.RE","TT.RE"
"22",1,21,1,2,1,5.06387928768217,98.1111159891123,12238,157,14.608759601242,3.12832843852048,0.627723790415889,98.8261699885855,19.5383530432896,2.55582202616982,71.1780438879096,22772,13,3.08523625505006,1.44212950051168,0.580355604358303,73.9438332016291,3.13976598124408
"23",1,21,2,1,1,5.03536745527172,98.5491009834546,13863,164,12.880978143259,3.0390844771223,0.621445299188155,99.5827768518416,18.1878842858583,5.81485373145459,87.5878345282095,47442,47,4.14603094304625,1.92404099749299,0.525183191478608,94.9378812842321,5.56590523430362
"26",1,22,1,2,1,3.73736711589813,98.1553245234651,11308,173,11.5802971347718,2.86993078999988,0.591490702632481,98.5698330722354,12.6664419187055,2.06956839413392,70.8662211574833,18402,12,3.05423323551788,1.40757621969793,0.587004877012527,72.8256209809608,3.07960543854972
"27",1,22,2,1,1,3.87589602571903,98.7568302061349,10082,154,13.5524697480659,3.08409841732297,0.637700298837007,99.4889993928706,15.3232773015696,2.37174468973436,51.5964352514028,17933,11,2.61506719455752,1.0702381605746,0.464798527459834,56.3428319947189,2.6581884246042
"30",1,26,1,2,1,9.06486113192121,98.7898675470312,31061,229,14.373812819935,3.03430087864416,0.576002767542945,99.2127169011404,16.8930751262151,7.71972925251703,95.6439940696667,75747,47,5.16114169538067,2.27084041009496,0.5931191184887,97.6418117853141,6.24805485542527
"31",1,26,2,1,1,3.36720516194874,98.1438459797229,12488,154,13.1933055733504,2.99332517601005,0.617921051062948,99.0111631342555,26.0156519017061,3.22392268825606,77.4646897206226,41917,22,3.15463892931269,1.47422125879705,0.484220855307415,93.6690470471761,5.52368121048813
"34",4,8,1,2,1,6.63614390629358,97.1457589129369,20709,157,9.3762615288039,2.50584888728834,0.502130595637568,97.5139835299533,10.0728165374677,8.0292392698545,94.0833205697657,54623,72,4.49825165223441,2.05371926682774,0.517271604089768,97.5497779139225,5.73334083492742
"35",4,8,2,1,1,2.6300150068394,97.1899261503503,6848,109,11.2425525700935,2.85502922654532,0.616007804080013,99.4899955816449,17.1626742160279,4.61087888749104,80.5826343232827,35911,28,3.36534766506084,1.5876109588697,0.521464693180865,88.7613853067865,3.72704874429543
"38",4,10,1,2,1,6.78176089578225,99.1246019245018,11342,170,17.8107035796156,3.25999363143479,0.639231179398876,99.4038068039629,22.0217414936406,2.60729353212982,68.8845031140315,18026,14,3.23355153666926,1.51813892970982,0.591878714990415,73.6991384709928,3.46705954300328
"39",4,10,2,1,1,1.76681255607291,95.1010491025182,7347,81,6.87246495168096,2.35706476964537,0.549373511619649,97.8245719774735,8.83599863899286,6.5734659191051,93.1881782173577,38276,65,5.19393353537465,2.27196625568443,0.569560125877485,97.858297982047,9.26120131310443
"42",4,15,1,2,1,2.95146515026875,97.7348577098273,9523,138,9.10248871154048,2.607005331168,0.562493586526581,98.1960041491905,9.81760793597114,6.35321544735989,89.9780296526939,41370,89,4.48448150833938,2.02745088449136,0.52659043086838,94.022416544205,5.21695371367061
"43",4,15,2,1,1,1.28009301780756,94.8969246367016,5471,120,6.67227197952842,2.30452925835339,0.522958039540203,98.0086827670471,8.378,4.8978922757038,83.9244822466595,35776,27,3.72884056350626,1.77166827950019,0.565036373053933,90.1482171166864,4.37184611160265
"46",4,17,1,2,1,2.95673659956342,98.0896760028086,6611,112,13.3125094539404,2.95967853895608,0.634655772108806,98.4485583406707,14.8981278461798,2.49082435507975,71.9145598705898,15855,23,3.70122989593188,1.76191488171614,0.578716339838714,75.3728508229066,3.83782603269687
"47",4,17,2,1,1,3.4519042170644,97.0796857249234,10125,191,10.0434567901235,2.69798138026294,0.542873789744399,99.1007074053213,14.4096335369239,4.40931556892661,84.4979647218453,30492,42,4.00298438934803,1.88422459501291,0.548698781565615,90.9527040124055,5.19690676792848
"50",4,21,1,2,1,4.41489698639682,97.8814509258844,8875,113,14.7586478873239,3.18109107120477,0.683523457843189,98.459101167257,18.5571830985915,2.27886944851207,67.6419711699631,16289,14,3.09681380072442,1.44463381507635,0.563221184415923,72.6959436808582,3.1923801672359
"51",4,21,2,1,1,5.80038771965942,97.7265617445809,14943,170,11.4980927524593,2.84256575367785,0.583066810475554,99.4590843680501,18.2890910992574,5.7959526422968,88.9054673907313,39272,49,4.29382257078835,1.99136531598754,0.564708373431073,94.8531660252017,5.74418901660281
"54",4,22,1,2,1,4.87625850086738,98.097082875792,12604,184,11.4112186607426,2.76096517391529,0.559525738980565,98.5015380208298,12.7929843210205,1.89929785661493,68.9155884165126,13397,14,3.17257594983952,1.48773714768719,0.580025934375391,72.894574699225,3.16754738251251
